Name                Date of Birth            Favourite Fruit
********************************************************************************
Ali                 16 of Nov                Any Fruit
Richard             14 of Dec                Any Fruit
Nicky               16 of Sep                Pear
James               15 of Mar                Pear
Blake               29 of Nov                Banana
Bell                01 of Nov                Banana
Kerry               05 of Sep                Cherries
Ross                27 of Jan                Pear
Chris               04 of Oct                Any Fruit
Billie              29 of Sep                Banana
Contreras           14 of Feb                Any Fruit
Jessie              21 of Nov                Any Fruit
George              26 of May                Any Fruit
Lane                18 of Jun                Any Fruit
Kirk                21 of Jun                Pear
Steve               07 of Jul                Pear
Renee               17 of Apr                Banana
Jaden               19 of Oct                Any Fruit
Ryan                14 of Oct                Any Fruit
Cameron             14 of Aug                Banana
Logan               04 of Jun                Any Fruit
Harvey              07 of Sep                Pear
Haiden              08 of Dec                Cherries
Eleen               03 of Apr                Cherries
Jamie               21 of Sep                Any Fruit
Rogers              04 of Aug                Pear
Ash                 02 of Nov                Cherries
Owen                01 of Feb                Cherries
Erin                20 of Mar                Pear
Rogers              21 of Dec                Any Fruit
Jo                  01 of Aug                Cherries
Morris              03 of Sep                Banana
Brett               08 of Jul                Any Fruit
Lowe                29 of Jan                Any Fruit
Cory                20 of Dec                Cherries
Gibson              08 of May                Any Fruit
Morgan              02 of Apr                Cherries
Reid                09 of Oct                Pear
Caden               08 of Jun                Banana
Riley               12 of Jan                Pear
Perkins             23 of Apr                Any Fruit
Gabby               07 of Nov                Cherries
Fran                15 of Jun                Cherries
Eli                 21 of Mar                Cherries
Robert              20 of Dec                Banana
Alex                23 of Nov                Any Fruit
Mel                 03 of Apr                Pear
Jess                06 of Jan                Banana
Bret                30 of Sep                Cherries
Phoenix             15 of Dec                Cherries
Farley              22 of Apr                Any Fruit
Kelly               23 of Feb                Cherries
John                14 of Nov                Cherries
Taylor              09 of Jun                Banana
Billy               03 of Dec                Cherries
Steff               31 of May                Pear
Jessie              02 of Jun                Cherries
Robin               11 of Nov                Any Fruit
Sammy               18 of Oct                Pear
Brian               02 of Nov                Banana
Wilkins             03 of Sep                Any Fruit
Alison              15 of Sep                Banana
Erin                18 of Apr                Cherries
Danny               07 of Mar                Pear
Kerry               18 of Jul                Banana
